fuel,location,brand,year,subcategory,transmission,price
Gasolina,Lima,BMW,2023,Hatchback,Automática - Secuencial,27900.0
hibrido,Lima,BMW,2023,Sedán,Automática,42991.0
Gasolina,Lima,FORD,2023,Camioneta,Automática,33500.0
Gasolina,Lima,SUBARU,2020,Sedán,Automática - Secuencial,24900.0
Gasolina,Lima,LAND ROVER,2020,Camioneta,Automática - Secuencial,100000.0
Gasolina,Lima,CUPRA,2023,Camioneta,Automática - Secuencial,30900.0
Gasolina,Lima,JEEP,2025,Camioneta,Automática - Secuencial,32500.0
Gasolina,Lima,RAM,2022,Pick Up,Automática,49500.0
Gasolina,Lima,VOLKSWAGEN,2023,Camioneta,Automática - Secuencial,45900.0
Gasolina,Arequipa,MITSUBISHI,2021,Hatchback,Mecánica,10800.0
Gasolina,Lima,CHERY,2023,Camioneta,Mecánica,13900.0
Gasolina,Lima,VOLKSWAGEN,2022,Camioneta,Automática,36900.0
Gasolina,Lima,BMW,2020,Camioneta,Automática - Secuencial,63900.0
Gasolina,Lima,LAND ROVER,2023,Camioneta,Automática,154990.0
Gasolina,Lima,MAZDA,2026,Camioneta,Automática,35990.0
gas,Lima,KIA,2022,Camioneta,Automática,20000.0
Gasolina,Lima,JAC,2021,Camioneta,Automática - Secuencial,12500.0
Gasolina,Lima,TOYOTA,2023,Camioneta,Automática,14500.0
Gasolina,Lima,FIAT,2023,Camioneta,Automática,18200.0
Gasolina,Lima,PORSCHE,2025,Camioneta,Automática - Secuencial,83000.0
hibrido,Lima,TOYOTA,2026,Camioneta,Automática - Secuencial,33000.0
Gasolina,Lima,BMW,2021,Camioneta,Automática,36900.0
Gasolina,Lima,MG,2023,Sedán,Automática,15990.0
Gasolina,Lima,BMW,2015,Deportivo,Automática,46900.0
Gasolina,Lima,LAND ROVER,2016,Camioneta,Automática,73000.0
Gasolina,Lima,TOYOTA,2011,Camioneta,Automática,25900.0
Gasolina,Lima,AUDI,2020,Camioneta,Automática - Secuencial,27900.0
electrico,Lima,BMW,2024,Camioneta,Automática,93991.0
Gasolina,Lima,JAGUAR,2016,Sedán,Automática - Secuencial,72900.0
Gasolina,Lima,LAND ROVER,2016,Camioneta,Automática,24900.0
Gasolina,Lima,BMW,2023,Camioneta,Automática,42000.0
Gasolina,Lima,FORD,2023,Pick Up,Automática - Secuencial,84900.0
Gasolina,Lima,JEEP,2019,Camioneta,Automática - Secuencial,22500.0
gas,Lima,HONDA,2021,Camioneta,Mecánica,14490.0
Gasolina,Lima,PORSCHE,2021,Camioneta,Automática,52900.0
Gasolina,Lima,MERCEDES BENZ,2023,Deportivo,Automática,32900.0
Gasolina,Lima,MAZDA,2024,Camioneta,Automática,24900.0
Gasolina,Lima,BMW,2021,Camioneta,Automática - Secuencial,159000.0
Gasolina,Lima,JEEP,2023,Camioneta,Automática,24490.0
Gasolina,Lima,TOYOTA,2024,Camioneta,Mecánica,15500.0
electrico,Lima,MERCEDES BENZ,2025,Camioneta,Automática,53900.0
Gasolina,Lima,MERCEDES BENZ,2015,Sedán,Automática - Secuencial,49900.0
Gasolina,Lima,JEEP,2014,Camioneta,Automática - Secuencial,22900.0
hibrido,Lima,AUDI,2025,Camioneta,Automática,59900.0
hibrido,Lima,TOYOTA,2021,Sedán,Automática - Secuencial,20500.0
electrico,Lima,BMW,2024,Deportivo,Automática,76991.0
hibrido,Lima,AUDI,2023,Camioneta,Automática - Secuencial,84900.0
Gasolina,Lima,BMW,2020,Sedán,Automática,26900.0
Gasolina,Lima,BMW,2018,Camioneta,Automática - Secuencial,44900.0
Gasolina,Lima,MERCEDES BENZ,2023,Sedán,Automática,40900.0
Gasolina,Lima,CHANGAN,2024,Camioneta,Automática,29000.0
Gasolina,Lima,JAC,2019,Camioneta,Automática,8500.0
Diesel,Lima,TOYOTA,2016,Pick Up,Mecánica,21500.0
Gasolina,Lima,SUBARU,2022,Camioneta,Automática,35000.0
Gasolina,Lima,JAGUAR,2018,Camioneta,Automática,32900.0
Gasolina,Lima,AUDI,2021,Camioneta,Automática - Secuencial,55900.0
hibrido,Lima,PORSCHE,2024,Camioneta,Automática,109900.0
Gasolina,Lima,SUBARU,2022,Camioneta,Automática,36500.0
Gasolina,Lima,CITROEN,2024,Hatchback,Mecánica,16000.0
Gasolina,Lima,VOLKSWAGEN,2015,Camioneta,Mecánica,11900.0
Gasolina,Lima,BMW,2020,Sedán,Automática - Secuencial,100000.0
hibrido,Lima,FORD,2023,Camioneta,Automática,36800.0
Gasolina,Lima,HONDA,2011,Sedán,Automática,12300.0
Gasolina,Lima,AUDI,2021,Camioneta,Automática - Secuencial,31900.0
Gasolina,Lima,VOLKSWAGEN,2024,Sedán,Automática - Secuencial,22900.0
Gasolina,Lima,SUBARU,2018,Camioneta,Automática,18900.0
Gasolina,Lima,BMW,2020,Camioneta,Automática,28990.0
hibrido,Lima,HONDA,2024,Camioneta,Automática - Secuencial,45500.0
Gasolina,Lima,MINI,2022,Camioneta,Automática,25900.0
Gasolina,Lima,LEXUS,2018,Camioneta,Automática - Secuencial,75000.0
hibrido,Lima,TOYOTA,2025,Camioneta,Automática - Secuencial,33000.0
Gasolina,Lima,BMW,2018,Camioneta,Automática - Secuencial,24900.0
Gasolina,Lima,CHEVROLET,2024,Hatchback,Automática,15790.0
Gasolina,Lima,BMW,2012,Camioneta,Automática - Secuencial,18900.0
Gasolina,Lima,MERCEDES BENZ,1981,Deportivo,Automática,22900.0
Gasolina,Lima,HONDA,2015,Camioneta,Automática,16900.0
Gasolina,Lima,AUDI,2015,Sedán,Automática - Secuencial,18900.0
Gasolina,Lima,HYUNDAI,2024,Camioneta,Automática,25700.0
Gasolina,Lima,AUDI,2023,Hatchback,Automática - Secuencial,58900.0
Gasolina,Lima,AUDI,2025,Deportivo,Automática,53900.0
hibrido,Lima,LEXUS,2023,Camioneta,Automática - Secuencial,33000.0
Gasolina,Lima,MERCEDES BENZ,2020,Camioneta,Automática,42900.0
Gasolina,Lima,PORSCHE,2017,Camioneta,Automática - Secuencial,49990.0
hibrido,Lima,BMW,2025,Camioneta,Automática - Secuencial,67900.0
hibrido,Lima,MERCEDES BENZ,2024,Camioneta,Automática,95900.0
Gasolina,Lima,BMW,2024,Sedán,Automática - Secuencial,37990.0
Gasolina,Lima,AUDI,2025,Camioneta,Automática - Secuencial,47990.0
Gasolina,Lima,RENAULT,2025,Camioneta,Automática,20500.0
Gasolina,Lima,SUBARU,2019,Hatchback,Automática,15900.0
Gasolina,Lima,BAIC,2023,Camioneta,Automática - Secuencial,12190.0
hibrido,Lima,HYUNDAI,2024,Camioneta,Automática,35990.0
Gasolina,Lima,JEEP,2010,Camioneta,Automática - Secuencial,12900.0
gas,Lima,HYUNDAI,2022,Camioneta,Mecánica,20990.0
Gasolina,Lima,MAZDA,2016,Camioneta,Mecánica,15000.0
Gasolina,Arequipa,SUBARU,2011,Camioneta,Automática,13500.0
hibrido,Lima,MERCEDES BENZ,2023,Camioneta,Automática,101900.0
Gasolina,Lima,MERCEDES BENZ,2014,Deportivo,Automática - Secuencial,43900.0
Gasolina,Lima,BMW,2022,Sedán,Automática,23900.0
Gasolina,Lima,FORD,2022,Pick Up,Automática,30500.0
Gasolina,Lima,BMW,2020,Camioneta,Automática - Secuencial,62900.0
Gasolina,Lima,KIA,2018,Camioneta,Automática,24900.0
Gasolina,Lima,HYUNDAI,2024,Sedán,Automática,19490.0
electrico,Lima,BMW,2025,Camioneta,Automática,60900.0
Gasolina,Lima,AUDI,2012,Sedán,Automática - Secuencial,10500.0
Gasolina,Lima,TOYOTA,2023,Camioneta,Automática - Secuencial,15500.0
Gasolina,Lima,VOLKSWAGEN,2015,Sedán,Mecánica,7900.0
Gasolina,Lima,KIA,2019,Camioneta,Automática,19900.0
Diesel,Lima,PEUGEOT,2016,Vans,Mecánica,25900.0
Gasolina,Lima,BMW,2017,Camioneta,Automática - Secuencial,27500.0
Diesel,Lima,FORD,2017,Pick Up,Automática,19900.0
hibrido,Lima,VOLVO,2022,Camioneta,Automática,52990.0
Gasolina,Arequipa,MAZDA,2024,Camioneta,Mecánica,20500.0
Gasolina,Lima,DFSK,2022,Camioneta,Automática,27000.0
Gasolina,Lima,AUDI,2020,Hatchback,Automática - Secuencial,22900.0
Gasolina,Lima,JAGUAR,2017,Camioneta,Automática - Secuencial,34900.0
Gasolina,Arequipa,FORD,2021,Camioneta,Automática,30000.0
Gasolina,Arequipa,NISSAN,2017,Camioneta,Automática,15500.0
Diesel,Lima,PEUGEOT,2016,Vans,Mecánica,24500.0
gas,Lima,DFSK,2023,Camioneta,Automática,12000.0
Gasolina,Lima,BMW,2018,Camioneta,Automática - Secuencial,39900.0
Gasolina,Lima,CHANGAN,2024,Camioneta,Automática,17700.0
Gasolina,Lima,LAND ROVER,2025,Camioneta,Automática - Secuencial,179990.0
Gasolina,Lima,LEXUS,2019,Camioneta,Automática - Secuencial,89900.0
Gasolina,Lima,BMW,2023,Sedán,Automática,30900.0
hibrido,Lima,MERCEDES BENZ,2023,Camioneta,Automática,96900.0
Gasolina,Lima,AUDI,2023,Sedán,Automática - Secuencial,37900.0
Gasolina,Lima,AUDI,2017,Camioneta,Automática,26000.0
Gasolina,Lima,BMW,2019,Camioneta,Automática - Secuencial,34900.0
Gasolina,Lima,MERCEDES BENZ,2015,Sedán,Automática - Secuencial,16900.0
Gasolina,Lima,BMW,2011,Deportivo,Automática - Secuencial,32900.0
Gasolina,Lima,JEEP,2019,Camioneta,Automática,29900.0
Gasolina,Lima,TOYOTA,2025,Camioneta,Automática - Secuencial,44990.0
gas,Lima,HYUNDAI,2024,Camioneta,Mecánica,19990.0
Gasolina,Lima,JEEP,2012,Camioneta,Automática,17500.0
Diesel,Lima,HYUNDAI,2017,Vans,Mecánica,17900.0
hibrido,Lima,TOYOTA,2024,Camioneta,Automática - Secuencial,36800.0
Gasolina,Lima,TOYOTA,2022,Hatchback,Automática,11000.0
Gasolina,Lima,MINI,2025,Camioneta,Automática - Secuencial,43900.0
hibrido,Lima,MAZDA,2024,Camioneta,Automática,52000.0
Gasolina,Lima,TOYOTA,2023,Camioneta,Automática - Secuencial,16700.0
Gasolina,Lima,BMW,2023,Camioneta,Automática - Secuencial,165000.0
Gasolina,Lima,SSANGYONG,2013,Camioneta,Automática,10900.0
hibrido,Lima,LAND ROVER,2023,Camioneta,Automática,50990.0
Gasolina,Arequipa,FORD,2019,Camioneta,Automática,16800.0
Gasolina,Lima,FORD,2011,Camioneta,Automática,14900.0
Gasolina,Lima,PORSCHE,2024,Camioneta,Automática - Secuencial,74900.0
Gasolina,Lima,AUDI,2017,Sedán,Automática - Secuencial,21900.0
Gasolina,Lima,BMW,2023,Camioneta,Automática - Secuencial,62990.0
Gasolina,Lima,JEEP,2008,Camioneta,Automática,22900.0
Gasolina,Lima,HONDA,2021,Camioneta,Automática - Secuencial,20990.0
Gasolina,Lima,VOLKSWAGEN,2018,Camioneta,Automática,23900.0
hibrido,Arequipa,LEXUS,2025,Camioneta,Automática - Secuencial,34000.0
electrico,Lima,BMW,2023,Camioneta,Automática,69991.0
Gasolina,Lima,ASTON MARTIN,2012,Deportivo,Automática - Secuencial,99000.0
Gasolina,Lima,ASTON MARTIN,2021,Camioneta,Automática - Secuencial,229000.0
Gasolina,Lima,MITSUBISHI,2015,Camioneta,Automática,11900.0
Gasolina,Lima,TOYOTA,2022,Camioneta,Automática,52900.0
hibrido,Lima,MERCEDES BENZ,2026,Deportivo,Automática,76900.0
hibrido,Lima,TOYOTA,2024,Camioneta,Automática,38000.0
hibrido,Lima,VOLVO,2023,Camioneta,Automática,34990.0
Gasolina,Lima,VOLKSWAGEN,2020,Camioneta,Automática,43990.0
electrico,Lima,AUDI,2024,Camioneta,Automática - Secuencial,85900.0
Gasolina,Lima,MAZDA,2022,Camioneta,Automática,28500.0
Gasolina,Lima,MINI,2025,Hatchback,Automática,39500.0
Gasolina,Lima,MERCEDES BENZ,2022,Camioneta,Automática - Secuencial,62000.0
hibrido,Lima,MERCEDES BENZ,2023,Sedán,Automática - Secuencial,69900.0
Gasolina,Lima,HYUNDAI,2022,Camioneta,Automática,21990.0
Gasolina,Lima,VOLKSWAGEN,2020,Sedán,Automática - Secuencial,20900.0
hibrido,Lima,KIA,2022,Camioneta,Automática - Secuencial,24900.0
electrico,Lima,MERCEDES BENZ,2023,Camioneta,Automática,42000.0
Gasolina,Lima,VOLKSWAGEN,2017,Hatchback,Automática,7900.0
Gasolina,Lima,HONDA,2018,Camioneta,Automática,20500.0
Gasolina,Lima,HYUNDAI,2023,Hatchback,Mecánica,12000.0
Gasolina,Arequipa,VOLKSWAGEN,2019,Camioneta,Automática - Secuencial,19500.0
hibrido,Lima,MERCEDES BENZ,2023,Sedán,Automática - Secuencial,39900.0
Diesel,Lima,HYUNDAI,2023,Vans,Mecánica,22490.0
Gasolina,Lima,VOLKSWAGEN,2018,Camioneta,Automática - Secuencial,20900.0
Gasolina,Lima,VOLKSWAGEN,2020,Camioneta,Automática - Secuencial,19900.0
Gasolina,Lima,FORD,2025,Deportivo,Automática - Secuencial,64900.0
Gasolina,Lima,JEEP,2021,Camioneta,Automática,16800.0
Gasolina,Lima,OTROS,2014,Vans,Mecánica,39900.0
Gasolina,Lima,FORD,2021,Camioneta,Automática - Secuencial,52000.0
Diesel,Lima,NISSAN,2023,Pick Up,Mecánica,24490.0
Gasolina,Lima,AUDI,2016,Sedán,Automática - Secuencial,39900.0
Diesel,Lima,TOYOTA,2015,Camioneta,Automática,32500.0
hibrido,Lima,MERCEDES BENZ,2025,Deportivo,Automática,55500.0
Gasolina,Lima,MERCEDES BENZ,2019,Camioneta,Automática,24900.0
Gasolina,Lima,VOLKSWAGEN,2015,Camioneta,Automática - Secuencial,10900.0
Gasolina,Lima,JEEP,2020,Camioneta,Automática,15900.0
Gasolina,Lima,HONDA,2024,Camioneta,Automática,56000.0
Gasolina,Lima,CHEVROLET,2020,Camioneta,Automática - Secuencial,39900.0
hibrido,Lima,BMW,2024,Camioneta,Automática,45900.0
Diesel,Lima,JEEP,2015,Camioneta,Automática - Secuencial,26500.0
hibrido,Lima,TOYOTA,2023,Camioneta,Automática - Secuencial,29000.0
Gasolina,Lima,TOYOTA,2023,Camioneta,Automática - Secuencial,20990.0
Gasolina,Lima,MAZDA,2016,Hatchback,Automática - Secuencial,13900.0
Gasolina,Lima,AUDI,2024,Camioneta,Automática,39900.0
Gasolina,Lima,BMW,2017,Sedán,Automática - Secuencial,29900.0
Gasolina,Arequipa,TOYOTA,2023,Camioneta,Automática - Secuencial,59000.0
Gasolina,Lima,JEEP,2019,Camioneta,Automática - Secuencial,29900.0
Gasolina,Lima,BMW,2019,Deportivo,Automática - Secuencial,22900.0
Diesel,Lima,PEUGEOT,2025,Vans,Mecánica,18990.0
Gasolina,Lima,HONDA,2021,Camioneta,Automática,32500.0
Gasolina,Lima,AUDI,2020,Camioneta,Automática - Secuencial,30900.0
Gasolina,Lima,VOLKSWAGEN,2018,Camioneta,Automática - Secuencial,15990.0
hibrido,Lima,TOYOTA,2019,Camioneta,Automática - Secuencial,29500.0
Gasolina,Lima,HONDA,2018,Camioneta,Automática,19990.0
Gasolina,Lima,SUZUKI,2025,Camioneta,Automática,23000.0
Gasolina,Lima,LAND ROVER,2013,Camioneta,Automática - Secuencial,23000.0
Gasolina,Lima,FORD,2024,Camioneta,Automática - Secuencial,22900.0
Gasolina,Lima,MASERATI,2019,Camioneta,Automática - Secuencial,0.0
Gasolina,Lima,JEEP,2022,Camioneta,Mecánica,17990.0
hibrido,Arequipa,AUDI,2021,Camioneta,Automática - Secuencial,34900.0
Gasolina,Lima,MINI,2023,Hatchback,Automática,28000.0
gas,Lima,TOYOTA,2021,Sedán,Automática,18500.0
hibrido,Lima,BMW,2024,Camioneta,Automática,45900.0
Gasolina,Arequipa,TOYOTA,2022,Camioneta,Automática - Secuencial,47900.0
Gasolina,Lima,HYUNDAI,2020,Camioneta,Automática,19900.0
electrico,Lima,BMW,2023,Camioneta,Automática,59991.0
Diesel,Lima,TOYOTA,2023,Pick Up,Automática,51000.0
Gasolina,Lima,BMW,2019,Camioneta,Automática,28000.0
Gasolina,Lima,MERCEDES BENZ,2017,Hatchback,Automática - Secuencial,31900.0
gas,Lima,KIA,2024,Camioneta,Automática,20990.0
Gasolina,Lima,JEEP,2020,Camioneta,Automática - Secuencial,30990.0
Gasolina,Lima,MERCEDES BENZ,2022,Deportivo,Automática - Secuencial,279000.0
