COLEGIO_DEPA,ESPECIALIDAD,SEXO,INGRESO,egreso_postulacion,edad
JUNIN,INGENIERÍA DE HIGIENE Y SEGURIDAD INDUSTRIAL,MASCULINO,NO,2,19
CALLAO,INGENIERÍA CIVIL,FEMENINO,SI,1,17
LIMA,ARQUITECTURA,FEMENINO,NO,2,18
UCAYALI,INGENIERÍA DE SOFTWARE,MASCULINO,SI,5,21
LIMA,ARQUITECTURA,MASCULINO,NO,3,19
LIMA,INGENIERÍA METALÚRGICA,MASCULINO,NO,2,18
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,ARQUITECTURA,MASCULINO,NO,2,18
LIMA,INGENIERÍA AMBIENTAL,FEMENINO,SI,2,18
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,0,17
LIMA,INGENIERÍA AMBIENTAL,MASCULINO,NO,3,19
LA LIBERTAD,INGENIERÍA ECONÓMICA,MASCULINO,NO,2,19
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,3,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,6,21
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,3,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,INGENIERÍA MECÁNICA-ELÉCTRICA,MASCULINO,NO,3,20
CALLAO,INGENIERÍA DE MINAS,MASCULINO,NO,2,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,INGENIERÍA MECATRÓNICA,FEMENINO,SI,3,19
APURIMAC,INGENIERÍA MECÁNICA-ELÉCTRICA,MASCULINO,SI,2,18
LIMA,FÍSICA,MASCULINO,SI,1,18
JUNIN,INGENIERÍA DE SISTEMAS,MASCULINO,SI,2,18
LIMA,INGENIERÍA DE MINAS,FEMENINO,NO,6,22
LIMA,INGENIERÍA MECÁNICA-ELÉCTRICA,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE PETRÓLEO Y GAS NATURAL,MASCULINO,NO,0,17
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,5,22
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,3,19
LAMBAYEQUE,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,ARQUITECTURA,FEMENINO,NO,2,18
LIMA,INGENIERÍA QUÍMICA,MASCULINO,SI,2,18
LIMA,INGENIERÍA GEOLÓGICA,MASCULINO,NO,1,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,4,21
LIMA,ARQUITECTURA,FEMENINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,19
APURIMAC,INGENIERÍA DE SOFTWARE,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,SI,1,17
SAN MARTIN,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,19
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,SI,4,20
LIMA,FÍSICA,MASCULINO,NO,3,20
ANCASH,INGENIERÍA DE MINAS,MASCULINO,NO,2,18
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,19
LAMBAYEQUE,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,ARQUITECTURA,FEMENINO,NO,3,19
ICA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE MINAS,FEMENINO,SI,1,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,5,22
LIMA,INGENIERÍA CIVIL,FEMENINO,SI,3,19
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,2,18
CAJAMARCA,INGENIERÍA CIVIL,MASCULINO,SI,2,18
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,3,20
LIMA,INGENIERÍA DE SOFTWARE,FEMENINO,NO,3,19
LIMA,ARQUITECTURA,FEMENINO,NO,2,19
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,SI,2,18
LIMA,INGENIERÍA MECATRÓNICA,FEMENINO,SI,2,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,20
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,19
LIMA,INGENIERÍA QUÍMICA,FEMENINO,NO,5,21
CAJAMARCA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
JUNÍN,INGENIERÍA INDUSTRIAL,FEMENINO,NO,2,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
HUÁNUCO,INGENIERÍA CIVIL,MASCULINO,NO,1,18
CAJAMARCA,ARQUITECTURA,FEMENINO,NO,1,18
CALLAO,INGENIERÍA CIVIL,FEMENINO,NO,3,20
CALLAO,INGENIERÍA CIVIL,MASCULINO,NO,2,17
LIMA,ARQUITECTURA,MASCULINO,NO,1,17
CAJAMARCA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,18
JUNÍN,INGENIERÍA NAVAL,MASCULINO,NO,5,22
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,4,20
HUANCAVELICA,ARQUITECTURA,MASCULINO,NO,2,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,SI,2,18
LIMA,INGENIERÍA ESTADÍSTICA,FEMENINO,NO,2,19
LIMA,ARQUITECTURA,MASCULINO,NO,4,20
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,18
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,3,20
LIMA,MATEMÁTICA,FEMENINO,NO,0,17
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,INGENIERÍA DE SOFTWARE,MASCULINO,NO,1,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,19
LIMA,ARQUITECTURA,FEMENINO,NO,3,19
LIMA,INGENIERÍA QUÍMICA,FEMENINO,SI,1,17
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,CIENCIA DE LA COMPUTACIÓN,MASCULINO,NO,3,19
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA AMBIENTAL,MASCULINO,NO,2,18
JUNIN,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,NO,4,20
CALLAO,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,3,20
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,INGENIERÍA ESTADÍSTICA,MASCULINO,SI,2,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,CIENCIA DE LA COMPUTACIÓN,MASCULINO,NO,3,20
LIMA,INGENIERÍA AMBIENTAL,MASCULINO,NO,6,22
LIMA,INGENIERÍA ELÉCTRICA,MASCULINO,SI,2,19
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,5,22
LIMA,INGENIERÍA MECÁNICA-ELÉCTRICA,MASCULINO,SI,4,20
LIMA,INGENIERÍA DE SOFTWARE,MASCULINO,NO,2,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,SI,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,4,20
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,INGENIERÍA METALÚRGICA,MASCULINO,SI,2,18
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,2,18
LIMA,QUÍMICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA AMBIENTAL,FEMENINO,NO,2,18
LIMA,INGENIERÍA ELÉCTRICA,MASCULINO,NO,4,20
CALLAO,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,4,20
LIMA,INGENIERÍA CIVIL,MASCULINO,SI,3,19
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,3,19
LIMA,INGENIERÍA ESTADÍSTICA,MASCULINO,SI,4,20
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,1,17
LIMA,INGENIERÍA QUÍMICA,MASCULINO,SI,4,20
LIMA,INGENIERÍA NAVAL,MASCULINO,NO,3,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,FÍSICA,FEMENINO,NO,2,19
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,SI,2,17
CALLAO,INGENIERÍA INDUSTRIAL,MASCULINO,NO,3,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA QUÍMICA,FEMENINO,NO,3,19
LIMA,INGENIERÍA ECONÓMICA,FEMENINO,NO,2,19
JUNIN,INGENIERÍA DE SISTEMAS,FEMENINO,NO,3,19
LIMA,ARQUITECTURA,FEMENINO,NO,1,18
ICA,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,NO,4,20
LIMA,INGENIERÍA AMBIENTAL,FEMENINO,NO,1,17
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,SI,6,23
ICA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,3,20
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,3,19
SAN MARTIN,INGENIERÍA CIVIL,MASCULINO,NO,4,20
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,20
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE SOFTWARE,MASCULINO,SI,2,19
LAMBAYEQUE,INGENIERÍA MECÁNICA,MASCULINO,NO,1,18
UCAYALI,ARQUITECTURA,FEMENINO,NO,2,18
LIMA,INGENIERÍA DE TELECOMUNICACIONES,MASCULINO,SI,1,17
LIMA,ARQUITECTURA,FEMENINO,NO,4,20
CALLAO,INGENIERÍA ELÉCTRICA,MASCULINO,NO,14,30
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE SOFTWARE,MASCULINO,NO,2,18
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,2,19
LIMA,INGENIERÍA AMBIENTAL,FEMENINO,NO,8,24
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA AMBIENTAL,FEMENINO,NO,1,18
JUNIN,INGENIERÍA MECÁNICA,MASCULINO,NO,12,28
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,19
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,2,19
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,3,19
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,1,18
LAMBAYEQUE,INGENIERÍA INDUSTRIAL,MASCULINO,NO,6,24
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,SI,3,20
LIMA,INGENIERÍA AMBIENTAL,FEMENINO,NO,1,17
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,1,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
CUSCO,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,NO,1,17
HUANCAVELICA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
AREQUIPA,INGENIERÍA DE MINAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE PETRÓLEO Y GAS NATURAL,MASCULINO,NO,0,18
LIMA,INGENIERÍA MECATRÓNICA,FEMENINO,NO,1,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
JUNIN,INGENIERÍA ESTADÍSTICA,FEMENINO,SI,1,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE SOFTWARE,MASCULINO,NO,1,17
TACNA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,FÍSICA,MASCULINO,SI,1,17
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,1,17
LIMA,INGENIERÍA QUÍMICA,FEMENINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,1,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,0,18
AMAZONAS,ARQUITECTURA,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
CAJAMARCA,INGENIERÍA DE SISTEMAS,MASCULINO,SI,2,18
LIMA,INGENIERÍA DE SISTEMAS,FEMENINO,NO,1,18
JUNIN,FÍSICA,MASCULINO,SI,1,18
PUNO,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SOFTWARE,FEMENINO,NO,1,18
LIMA,FÍSICA,FEMENINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,FÍSICA,MASCULINO,SI,1,18
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,1,17
JUNIN,INGENIERÍA DE MINAS,MASCULINO,NO,1,18
AYACUCHO,INGENIERÍA DE SOFTWARE,MASCULINO,NO,1,18
ICA,INGENIERÍA QUÍMICA,MASCULINO,NO,1,18
MOQUEGUA,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,18
CAJAMARCA,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,SI,1,17
LIMA,INGENIERÍA MECATRÓNICA,FEMENINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,1,17
LIMA,INGENIERÍA DE SOFTWARE,MASCULINO,NO,1,18
LIMA,INGENIERÍA QUÍMICA,MASCULINO,NO,1,17
PUNO,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,1,17
ANCASH,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,18
LIMA,ARQUITECTURA,MASCULINO,NO,1,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,21
JUNIN,INGENIERÍA ELÉCTRICA,MASCULINO,NO,1,18
LA LIBERTAD,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,1,18
AYACUCHO,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,1,18
MOQUEGUA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,1,17
ANCASH,INGENIERÍA CIVIL,MASCULINO,NO,1,17
PASCO,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,ARQUITECTURA,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,ARQUITECTURA,MASCULINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,1,18
LIMA,ARQUITECTURA,MASCULINO,NO,1,17
LAMBAYEQUE,INGENIERÍA INDUSTRIAL,FEMENINO,NO,1,18
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,1,18
LIMA,ARQUITECTURA,MASCULINO,NO,1,18
JUNIN,INGENIERÍA MECÁNICA,MASCULINO,NO,1,18
JUNIN,ARQUITECTURA,MASCULINO,NO,1,18
JUNIN,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,1,17
HUANCAVELICA,INGENIERÍA DE MINAS,MASCULINO,NO,1,19
LIMA,INGENIERÍA DE SOFTWARE,MASCULINO,NO,1,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,18
LIMA,ARQUITECTURA,MASCULINO,NO,1,17
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,1,18
CALLAO,ARQUITECTURA,MASCULINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,1,17
JUNIN,INGENIERÍA MECÁNICA-ELÉCTRICA,MASCULINO,NO,1,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,18
LIMA,INGENIERÍA MECATRÓNICA,FEMENINO,NO,1,18
LAMBAYEQUE,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,17
JUNIN,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
PUNO,INGENIERÍA ECONÓMICA,FEMENINO,NO,1,18
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,1,17
LIMA,FÍSICA,MASCULINO,NO,1,18
HUANCAVELICA,INGENIERÍA DE SOFTWARE,FEMENINO,NO,1,17
LIMA,ARQUITECTURA,FEMENINO,NO,1,18
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,1,18
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,1,18
LAMBAYEQUE,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,1,17
CAJAMARCA,INGENIERÍA MECATRÓNICA,FEMENINO,NO,1,17
LIMA,ARQUITECTURA,MASCULINO,NO,1,18
CAJAMARCA,INGENIERÍA NAVAL,MASCULINO,NO,1,18
CAJAMARCA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,1,17
CALLAO,ARQUITECTURA,FEMENINO,NO,1,18
LIMA,MATEMÁTICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,ARQUITECTURA,FEMENINO,NO,1,18
HUANCAVELICA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
CALLAO,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,INGENIERÍA MECÁNICA-ELÉCTRICA,MASCULINO,NO,1,17
JUNIN,INGENIERÍA QUÍMICA,MASCULINO,NO,1,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,1,17
LIMA,INGENIERÍA QUÍMICA,FEMENINO,NO,5,22
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,SI,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,SI,17,34
LIMA,INGENIERÍA ELÉCTRICA,MASCULINO,NO,4,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,3,20
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,7,24
LIMA,ARQUITECTURA,FEMENINO,NO,2,19
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,2,18
ÁNCASH,INGENIERÍA MECATRÓNICA,MASCULINO,NO,6,22
LIMA,INGENIERÍA DE SISTEMAS,FEMENINO,NO,2,19
LIMA,INGENIERÍA MECÁNICA-ELÉCTRICA,FEMENINO,NO,1,17
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,SI,3,20
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,5,23
LIMA,INGENIERÍA CIVIL,MASCULINO,SI,6,22
LIMA,INGENIERÍA CIVIL,MASCULINO,SI,6,22
LAMBAYEQUE,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,1,17
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,SI,1,17
LIMA,INGENIERÍA ESTADÍSTICA,MASCULINO,SI,5,21
CAJAMARCA,INGENIERÍA CIVIL,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE TELECOMUNICACIONES,MASCULINO,SI,5,21
ICA,INGENIERÍA CIVIL,FEMENINO,NO,2,18
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,1,17
LIMA,ARQUITECTURA,FEMENINO,NO,2,18
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,2,18
ICA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,NO,1,18
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,2,19
LIMA,INGENIERÍA CIVIL,MASCULINO,SI,4,20
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,3,19
LIMA,INGENIERÍA QUÍMICA,MASCULINO,SI,4,20
LIMA,ARQUITECTURA,FEMENINO,NO,2,18
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,FEMENINO,NO,4,21
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,ARQUITECTURA,FEMENINO,NO,1,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA QUÍMICA,MASCULINO,SI,1,17
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,SI,2,19
LIMA,INGENIERÍA CIVIL,MASCULINO,SI,2,18
LIMA,INGENIERÍA ELÉCTRICA,MASCULINO,NO,3,20
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,2,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
ICA,INGENIERÍA DE TELECOMUNICACIONES,MASCULINO,SI,2,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,18
LIMA,CIENCIA DE LA COMPUTACIÓN,MASCULINO,NO,4,20
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,4,20
LIMA,INGENIERÍA DE TELECOMUNICACIONES,MASCULINO,SI,1,17
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SOFTWARE,MASCULINO,NO,3,19
LIMA,INGENIERÍA ELÉCTRICA,MASCULINO,NO,3,19
ICA,ARQUITECTURA,MASCULINO,NO,2,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LIMA,ARQUITECTURA,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,19
LIMA,INGENIERÍA ECONÓMICA,FEMENINO,NO,4,20
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,4,21
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,SI,1,18
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,SI,2,19
LIMA,INGENIERÍA ECONÓMICA,FEMENINO,NO,2,18
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,5,21
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,4,21
LIMA,INGENIERÍA CIVIL,MASCULINO,SI,3,19
SAN MARTIN,CIENCIA DE LA COMPUTACIÓN,MASCULINO,NO,4,20
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,18
LIMA,ARQUITECTURA,MASCULINO,SI,2,19
LIMA,INGENIERÍA ESTADÍSTICA,MASCULINO,SI,3,20
LIMA,INGENIERÍA CIVIL,MASCULINO,SI,3,19
