Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria,Rooms,Price,Distance
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.431,21.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.996,21.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.825,9.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.6608,7.9
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.7,7.9
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.7,7.9
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.035,7.9
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.955,7.9
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.81,7.9
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.85,9.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.6,9.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.22,9.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.47,9.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.8,9.7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.88,23.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.285,17.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.835,17.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.445,17.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.435,17.3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.675,8.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.3,11.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.5,11.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.34,11.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.4,13.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.775,13.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.92,13.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.22,13.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.13,13.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.46,13.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,17.3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2,13.4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.41,13.4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.11,13.4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.96,13.4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.09,13.4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.98,13.4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.925,13.4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.71,13.4
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.985,27.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.42,10.9
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.5005,8.6
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.49,8.6
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.5,8.6
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.25,10.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.958,10.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.137,10.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.975,10.3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.457,14.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.74,5.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9,5.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.25,5.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.225,5.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.12,5.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.56,5.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.685,5.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.625,5.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.47,4.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.86,4.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9,5.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.398,5.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.576,5.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.4,5.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.85,5.2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.15,10.8
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.525,12.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.74,12.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.34,12.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.265,10.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,10.4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.46,14.7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2,14.7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.935,14.7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.78,14.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.868,7.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.375,7.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.235,7.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.51,7.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.52,7.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.835,7.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.495,7.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.1005,7.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.3,8.4
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.47,3.5
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.41,3.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.775,10.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.295,10.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.629,14.8
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.406,14.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.4,8.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.538,8.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.354,11.7
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.886,27.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,16.7
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.01,16.7
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.6975,16.7
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.8,17.5
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.805,3.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.4,3.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0325,6.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.07,6.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.005,6.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.905,6.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.412,6.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,6.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7975,6.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.43,6.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.49,6.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.96,6.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.96,2.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3565,20.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5805,20.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.573,20.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.475,20.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.385,20.6
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.744,23.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.746,23.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.965,23.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.4555,14.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.8,24.7
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.61,24.7
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.307,24.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.61,7.9
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.589,14.8
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.603,14.8
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.335,18.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.73,21.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.92,22.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.77,22.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.14,22.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.91,22.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.88385,22.2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.556,12.4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.249,14.3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.95,14.3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.82,14.3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.73,14.3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.26,16.1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.3,16.1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.82,8.9
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.675,1.3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.15,1.3
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.13,27.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.683,7.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.25,7.2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8405,18.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9,18.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.837,18.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,18.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.8,7.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.805,7.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.985,7.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.69,28.5
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.497,19.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5075,19.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.01,19.6
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.93,7.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.399,7.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.512,7.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,7.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.552,7.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.86,7.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.946,8.2
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.43,7.5
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.27,5.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.635,13.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.63,13.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.705,13.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.625,13.1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.665508,24.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.691,24.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.815,24.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.73,24.8
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.72,2.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.89,3.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.454,3.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.061,3.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.31,3.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.995,3.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.259,3.6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.325,3.6
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.331,5.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,5.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.771,5.1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.26,15.4
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.65,12.9
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.73,7.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.225,7.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.5,7.3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.10008,16.7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.52,16.7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.716,16.7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.1,16.7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.467,16.7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,16.7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.311,16.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.582,11.2
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.536,12.9
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.696,12.9
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.757,16.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.86,16.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.768,16.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.812,16.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.782,16.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.725,16.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.68,16.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.882,16.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.632,20.4
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.812,11.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.837,11.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.473,11.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.2885,13.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.75,13.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.51,13.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.5,13.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.855,5.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.49,5.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.62,5.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.6,5.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.975,5.3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.655,8.9
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.42,8.9
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.786,8.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.959,8.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.72,8.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.322,16.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.6125,18.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.63,18.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.715,18.4
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.6865,18.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.065,12.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.355,12.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.145,12.3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.792,7.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.44,7.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.66,7.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.977,7.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.84,7.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.275,7.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.781,7.8
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.575,14.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.542,14.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.569,15.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.95,11.7
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.85,11.7
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.756,11.7
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.68,11.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36,3.4
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.325,3.4
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.103,3.4
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.901,3.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.653,5.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,5.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.61,5.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.315,5.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.05,5.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.155,5.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.83,5.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.77,7.3
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.6,25.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.592,16.3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.12,12.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.71,12.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.915,12.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.36,5.9
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.4,5.9
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.35,5.9
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.45,5.9
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,8.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.15,8.4
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.813,4.3
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.33,4.3
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.425,4.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.875,11.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.265,11.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.2,11.4
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.52,17.4
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.605,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.649,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.44,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.3,20.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.337,20.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5255,25.9
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.8,3.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.425,17.9
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5955,17.9
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.66,17.9
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3,17.2
