Rooms,Price,Regionname,Distance
4,1460000.0,Southern Metropolitan,13.8
4,3000000.0,Southern Metropolitan,17.3
4,1200000.0,Eastern Metropolitan,13.4
4,1410000.0,Eastern Metropolitan,13.4
3,1110000.0,Eastern Metropolitan,13.4
4,960000.0,Eastern Metropolitan,13.4
5,1090000.0,Eastern Metropolitan,13.4
3,980000.0,Eastern Metropolitan,13.4
4,1925000.0,Eastern Metropolitan,13.4
3,710000.0,Eastern Metropolitan,13.4
4,985000.0,South-Eastern Metropolitan,27.0
2,420000.0,Eastern Metropolitan,10.9
3,500500.0,Western Metropolitan,8.6
2,490000.0,Western Metropolitan,8.6
2,500000.0,Western Metropolitan,8.6
4,2250000.0,Southern Metropolitan,10.5
3,1958000.0,Southern Metropolitan,10.3
4,2137000.0,Southern Metropolitan,10.3
4,2975000.0,Southern Metropolitan,10.3
3,457000.0,Northern Metropolitan,14.0
2,740000.0,Northern Metropolitan,5.2
3,900000.0,Northern Metropolitan,5.2
4,1250000.0,Northern Metropolitan,5.2
2,1225000.0,Northern Metropolitan,5.2
3,1120000.0,Northern Metropolitan,5.2
2,560000.0,Northern Metropolitan,5.2
3,1685000.0,Northern Metropolitan,5.2
2,625000.0,Northern Metropolitan,5.2
3,1470000.0,Northern Metropolitan,4.0
2,860000.0,Northern Metropolitan,4.0
3,900000.0,Northern Metropolitan,5.2
2,398000.0,Northern Metropolitan,5.2
2,576000.0,Northern Metropolitan,5.2
4,1400000.0,Northern Metropolitan,5.2
3,850000.0,Northern Metropolitan,5.2
4,1150000.0,Eastern Metropolitan,10.8
2,525000.0,Northern Metropolitan,12.1
4,740000.0,Northern Metropolitan,12.1
2,340000.0,Northern Metropolitan,12.1
5,1265000.0,Southern Metropolitan,10.4
3,1000000.0,Southern Metropolitan,10.4
4,1460000.0,Eastern Metropolitan,14.7
4,1200000.0,Eastern Metropolitan,14.7
4,935000.0,Eastern Metropolitan,14.7
3,780000.0,Eastern Metropolitan,14.7
2,868000.0,Southern Metropolitan,7.7
3,1375000.0,Southern Metropolitan,7.7
2,1235000.0,Southern Metropolitan,7.7
3,1510000.0,Southern Metropolitan,7.7
3,1520000.0,Southern Metropolitan,7.7
2,835000.0,Southern Metropolitan,7.7
2,495000.0,Southern Metropolitan,7.7
4,2100500.0,Southern Metropolitan,7.7
5,3300000.0,Southern Metropolitan,8.4
2,1470000.0,Northern Metropolitan,3.5
3,2410000.0,Northern Metropolitan,3.5
4,1775000.0,Southern Metropolitan,10.1
1,295000.0,Southern Metropolitan,10.1
4,629000.0,Western Metropolitan,14.8
2,406000.0,Western Metropolitan,14.8
3,1400000.0,Southern Metropolitan,8.4
3,1538000.0,Southern Metropolitan,8.7
3,1354000.0,Southern Metropolitan,11.7
3,886000.0,South-Eastern Metropolitan,27.0
7,4000000.0,South-Eastern Metropolitan,16.7
4,1010000.0,South-Eastern Metropolitan,16.7
2,697500.0,South-Eastern Metropolitan,16.7
3,800000.0,South-Eastern Metropolitan,17.5
3,1805000.0,Northern Metropolitan,3.6
3,1400000.0,Northern Metropolitan,3.6
3,1032500.0,Northern Metropolitan,6.7
3,1070000.0,Northern Metropolitan,6.7
3,1005000.0,Northern Metropolitan,6.7
2,905000.0,Northern Metropolitan,6.7
2,412000.0,Northern Metropolitan,6.7
1,333000.0,Northern Metropolitan,6.7
2,797500.0,Northern Metropolitan,6.7
2,430000.0,Northern Metropolitan,6.7
2,490000.0,Northern Metropolitan,6.7
4,960000.0,Northern Metropolitan,6.7
2,960000.0,Northern Metropolitan,2.0
3,356500.0,Northern Metropolitan,20.6
4,580500.0,Northern Metropolitan,20.6
3,573000.0,Northern Metropolitan,20.6
4,475000.0,Northern Metropolitan,20.6
3,385000.0,Northern Metropolitan,20.6
3,744000.0,Eastern Metropolitan,23.0
3,746000.0,Eastern Metropolitan,23.0
3,965000.0,Eastern Metropolitan,23.0
3,455500.0,Northern Metropolitan,14.0
3,800000.0,South-Eastern Metropolitan,24.7
3,610000.0,South-Eastern Metropolitan,24.7
2,307000.0,South-Eastern Metropolitan,24.7
2,1610000.0,Southern Metropolitan,7.9
5,589000.0,Western Metropolitan,14.8
4,603000.0,Western Metropolitan,14.8
3,335000.0,Western Metropolitan,18.0
4,730000.0,Northern Victoria,21.8
4,920000.0,South-Eastern Metropolitan,22.2
3,770000.0,South-Eastern Metropolitan,22.2
4,1140000.0,South-Eastern Metropolitan,22.2
4,910000.0,South-Eastern Metropolitan,22.2
4,883850.0,South-Eastern Metropolitan,22.2
4,1556000.0,Eastern Metropolitan,12.4
4,1249000.0,Eastern Metropolitan,14.3
3,950000.0,Eastern Metropolitan,14.3
3,820000.0,Eastern Metropolitan,14.3
4,1730000.0,Eastern Metropolitan,14.3
3,1260000.0,Eastern Metropolitan,16.1
4,1300000.0,Eastern Metropolitan,16.1
3,1820000.0,Eastern Metropolitan,8.9
1,675000.0,Northern Metropolitan,1.3
4,4150000.0,Northern Metropolitan,1.3
3,1130000.0,South-Eastern Metropolitan,27.0
3,1683000.0,Southern Metropolitan,7.2
3,2250000.0,Southern Metropolitan,7.2
3,840500.0,Eastern Metropolitan,18.0
3,900000.0,Eastern Metropolitan,18.0
3,837000.0,Eastern Metropolitan,18.0
4,1000000.0,Eastern Metropolitan,18.0
2,800000.0,Southern Metropolitan,7.2
2,805000.0,Southern Metropolitan,7.2
4,2985000.0,Southern Metropolitan,7.2
4,690000.0,South-Eastern Metropolitan,28.5
3,497000.0,Northern Metropolitan,19.6
3,507500.0,Northern Metropolitan,19.6
5,1010000.0,Northern Metropolitan,19.6
4,1930000.0,Western Metropolitan,7.5
4,1399000.0,Western Metropolitan,7.5
3,1512000.0,Western Metropolitan,7.5
4,2000000.0,Western Metropolitan,7.5
3,552000.0,Western Metropolitan,7.5
2,860000.0,Western Metropolitan,7.5
4,946000.0,Western Metropolitan,8.2
3,1430000.0,Western Metropolitan,7.5
4,1270000.0,Northern Metropolitan,5.7
3,635000.0,Northern Metropolitan,13.1
3,630000.0,Northern Metropolitan,13.1
3,705000.0,Northern Metropolitan,13.1
3,625000.0,Northern Metropolitan,13.1
3,665508.0,Eastern Metropolitan,24.8
3,691000.0,Eastern Metropolitan,24.8
4,815000.0,Eastern Metropolitan,24.8
3,730000.0,Eastern Metropolitan,24.8
1,720000.0,Northern Metropolitan,2.1
3,1890000.0,Northern Metropolitan,3.6
3,1454000.0,Northern Metropolitan,3.6
4,2061000.0,Northern Metropolitan,3.6
3,1310000.0,Northern Metropolitan,3.6
2,995000.0,Northern Metropolitan,3.6
4,3259000.0,Northern Metropolitan,3.6
2,1325000.0,Northern Metropolitan,3.6
1,331000.0,Western Metropolitan,5.1
3,1000000.0,Western Metropolitan,5.1
2,771000.0,Western Metropolitan,5.1
3,1260000.0,Eastern Metropolitan,15.4
4,650000.0,Western Metropolitan,12.9
3,3730000.0,Southern Metropolitan,7.3
3,1225000.0,Southern Metropolitan,7.3
4,1500000.0,Southern Metropolitan,7.3
4,1100080.0,Eastern Metropolitan,16.7
4,1520000.0,Eastern Metropolitan,16.7
7,1716000.0,Eastern Metropolitan,16.7
5,1100000.0,Eastern Metropolitan,16.7
4,1467000.0,Eastern Metropolitan,16.7
3,1600000.0,Eastern Metropolitan,16.7
4,1311000.0,Eastern Metropolitan,16.7
3,582000.0,Northern Metropolitan,11.2
3,536000.0,Western Metropolitan,12.9
3,696000.0,Western Metropolitan,12.9
3,757000.0,Northern Metropolitan,16.1
4,860000.0,Northern Metropolitan,16.1
3,768000.0,Northern Metropolitan,16.1
4,812000.0,Northern Metropolitan,16.1
3,782000.0,Northern Metropolitan,16.1
3,725000.0,Northern Metropolitan,16.1
4,680000.0,Northern Metropolitan,16.1
3,882000.0,Northern Metropolitan,16.1
4,632000.0,Northern Metropolitan,20.4
4,812000.0,Northern Metropolitan,11.2
3,837000.0,Northern Metropolitan,11.2
3,473000.0,Northern Metropolitan,11.2
3,2288500.0,Southern Metropolitan,13.8
2,750000.0,Southern Metropolitan,13.8
3,1510000.0,Southern Metropolitan,13.8
3,1500000.0,Southern Metropolitan,13.8
3,855000.0,Southern Metropolitan,5.3
2,490000.0,Southern Metropolitan,5.3
2,620000.0,Southern Metropolitan,5.3
2,600000.0,Southern Metropolitan,5.3
3,975000.0,Southern Metropolitan,5.3
2,655000.0,Eastern Metropolitan,8.9
4,1420000.0,Eastern Metropolitan,8.9
3,786000.0,Eastern Metropolitan,8.8
3,959000.0,Eastern Metropolitan,8.8
3,720000.0,Eastern Metropolitan,8.8
3,1322000.0,Southern Metropolitan,16.0
4,612500.0,Western Metropolitan,18.0
4,630000.0,Western Metropolitan,18.0
4,715000.0,Western Metropolitan,18.4
4,686500.0,Western Metropolitan,18.4
2,1065000.0,Southern Metropolitan,12.3
4,1355000.0,Southern Metropolitan,12.3
3,1145000.0,Southern Metropolitan,12.3
2,792000.0,Eastern Metropolitan,7.8
3,1440000.0,Eastern Metropolitan,7.8
2,660000.0,Eastern Metropolitan,7.8
3,1977000.0,Eastern Metropolitan,7.8
3,1840000.0,Eastern Metropolitan,7.8
4,1275000.0,Eastern Metropolitan,7.8
3,1781000.0,Eastern Metropolitan,7.8
3,575000.0,Northern Metropolitan,14.0
3,542000.0,Northern Metropolitan,14.0
3,569000.0,Western Metropolitan,15.5
3,950000.0,Western Metropolitan,11.7
4,850000.0,Western Metropolitan,11.7
3,756000.0,Western Metropolitan,11.7
3,680000.0,Western Metropolitan,11.7
1,360000.0,Northern Metropolitan,3.4
1,325000.0,Northern Metropolitan,3.4
4,1103000.0,Northern Metropolitan,3.4
2,901000.0,Northern Metropolitan,3.4
2,653000.0,Southern Metropolitan,5.4
3,2000000.0,Southern Metropolitan,5.4
4,1610000.0,Southern Metropolitan,5.4
4,2315000.0,Southern Metropolitan,5.4
3,1050000.0,Southern Metropolitan,5.4
3,2155000.0,Southern Metropolitan,5.4
3,830000.0,Southern Metropolitan,5.4
4,1770000.0,Southern Metropolitan,7.3
3,600000.0,South-Eastern Metropolitan,25.2
3,592000.0,Northern Metropolitan,16.3
4,1120000.0,Northern Metropolitan,12.7
3,710000.0,Northern Metropolitan,12.7
3,915000.0,Northern Metropolitan,12.7
1,360000.0,Southern Metropolitan,5.9
4,2400000.0,Southern Metropolitan,5.9
3,1350000.0,Southern Metropolitan,5.9
1,450000.0,Southern Metropolitan,5.9
3,2000000.0,Southern Metropolitan,8.4
3,1150000.0,Southern Metropolitan,8.4
3,813000.0,Western Metropolitan,4.3
2,330000.0,Western Metropolitan,4.3
5,1425000.0,Western Metropolitan,4.3
3,875000.0,Southern Metropolitan,11.4
2,1265000.0,Southern Metropolitan,11.4
3,1200000.0,Southern Metropolitan,11.4
3,520000.0,Northern Metropolitan,17.4
2,605000.0,Northern Metropolitan,0.0
2,649000.0,Northern Metropolitan,0.0
1,440000.0,Northern Metropolitan,0.0
4,1300000.0,South-Eastern Metropolitan,20.0
1,337000.0,South-Eastern Metropolitan,20.0
4,525500.0,Northern Metropolitan,25.9
2,800000.0,Southern Metropolitan,3.0
3,425000.0,Northern Metropolitan,17.9
3,595500.0,Northern Metropolitan,17.9
3,660000.0,Northern Metropolitan,17.9
3,1300000.0,Eastern Metropolitan,17.2
3,820000.0,Eastern Metropolitan,16.2
3,725000.0,Eastern Metropolitan,16.2
2,1180000.0,Western Metropolitan,6.2
2,910000.0,Western Metropolitan,6.2
3,887500.0,Western Metropolitan,6.2
3,1143000.0,Western Metropolitan,6.2
3,1117500.0,Western Metropolitan,6.2
3,1330000.0,Western Metropolitan,6.2
2,800000.0,Southern Metropolitan,14.3
5,1410000.0,Southern Metropolitan,14.3
1,457500.0,Southern Metropolitan,14.3
3,778000.0,Eastern Victoria,26.5
3,822000.0,South-Eastern Metropolitan,21.5
3,895000.0,South-Eastern Metropolitan,21.5
4,1300000.0,South-Eastern Metropolitan,21.5
2,568888.0,Eastern Metropolitan,14.2
5,3105000.0,Eastern Metropolitan,14.2
4,1500000.0,Eastern Metropolitan,14.2
3,1030000.0,Eastern Metropolitan,14.2
4,1275000.0,Eastern Metropolitan,14.2
3,1360000.0,Eastern Metropolitan,14.2
4,980000.0,Eastern Metropolitan,14.2
5,1601000.0,Eastern Metropolitan,14.2
4,1780000.0,Eastern Metropolitan,14.2
3,630000.0,South-Eastern Metropolitan,18.8
4,925000.0,South-Eastern Metropolitan,18.8
3,868000.0,South-Eastern Metropolitan,18.8
5,880000.0,South-Eastern Metropolitan,18.8
3,920000.0,South-Eastern Metropolitan,18.8
4,1550000.0,Southern Metropolitan,10.1
2,720000.0,Southern Metropolitan,10.1
2,586500.0,Southern Metropolitan,10.1
2,1032000.0,Western Metropolitan,6.2
3,1270000.0,Western Metropolitan,6.2
4,710000.0,South-Eastern Metropolitan,22.7
6,1815000.0,Northern Metropolitan,1.8
1,420000.0,Northern Metropolitan,1.8
2,1200000.0,Northern Metropolitan,5.3
1,345000.0,Northern Metropolitan,5.3
3,1075000.0,Northern Metropolitan,5.3
3,1332000.0,Northern Metropolitan,5.3
3,685000.0,Eastern Metropolitan,15.4
3,1185000.0,Eastern Metropolitan,15.4
3,806000.0,Eastern Metropolitan,15.4
3,857000.0,Northern Metropolitan,11.2
4,945000.0,Northern Metropolitan,11.2
4,986000.0,Southern Metropolitan,12.3
2,1120000.0,South-Eastern Metropolitan,15.5
3,710000.0,South-Eastern Metropolitan,15.5
2,420000.0,Southern Metropolitan,11.4
2,490000.0,Southern Metropolitan,11.4
3,1100000.0,Southern Metropolitan,11.4
3,1260000.0,South-Eastern Metropolitan,21.5
3,1200000.0,South-Eastern Metropolitan,21.5
2,669000.0,South-Eastern Metropolitan,21.5
1,668000.0,Northern Metropolitan,1.8
4,945000.0,Northern Metropolitan,8.5
2,650000.0,Northern Metropolitan,8.5
4,1510000.0,Northern Metropolitan,8.5
2,522000.0,Northern Metropolitan,8.5
3,760000.0,Northern Metropolitan,8.5
3,930000.0,Northern Metropolitan,8.5
3,641000.0,Western Metropolitan,14.7
4,720000.0,Western Metropolitan,14.7
2,625000.0,Southern Metropolitan,3.5
3,1400000.0,Southern Metropolitan,3.5
4,2090000.0,Southern Metropolitan,3.5
1,505000.0,Southern Metropolitan,3.5
3,1650000.0,Southern Metropolitan,3.5
1,311000.0,Southern Metropolitan,4.6
2,1325000.0,Southern Metropolitan,4.6
2,940000.0,Southern Metropolitan,4.6
3,893000.0,Northern Metropolitan,8.4
2,410000.0,Northern Metropolitan,8.4
3,640000.0,Northern Metropolitan,8.4
3,1239500.0,Northern Metropolitan,8.4
2,530000.0,Northern Metropolitan,8.4
3,610000.0,Northern Metropolitan,12.0
2,710000.0,Northern Metropolitan,12.0
1,357500.0,Northern Metropolitan,12.0
2,560000.0,Northern Metropolitan,12.0
2,390000.0,Northern Metropolitan,12.0
3,700000.0,Northern Metropolitan,12.0
2,846000.0,Northern Metropolitan,12.0
3,500000.0,Northern Metropolitan,12.0
5,1100000.0,Northern Metropolitan,12.0
2,655000.0,Northern Metropolitan,12.0
2,520000.0,Northern Metropolitan,12.0
3,850000.0,Northern Metropolitan,12.0
3,886500.0,Northern Metropolitan,12.0
2,1110000.0,Northern Metropolitan,2.4
2,906000.0,Northern Metropolitan,2.4
2,1100000.0,Northern Metropolitan,2.4
2,610000.0,Northern Metropolitan,2.4
1,550000.0,Northern Metropolitan,2.4
2,514500.0,Northern Metropolitan,2.4
3,1619000.0,Northern Metropolitan,2.4
3,739000.0,Eastern Metropolitan,19.9
4,901000.0,Eastern Metropolitan,21.3
3,700000.0,Eastern Metropolitan,21.3
3,805000.0,Eastern Metropolitan,19.9
4,868200.0,South-Eastern Metropolitan,23.5
4,462000.0,Northern Metropolitan,20.6
4,448000.0,Northern Metropolitan,20.6
3,393500.0,Northern Metropolitan,20.6
3,1450000.0,Southern Metropolitan,15.2
3,821000.0,Eastern Metropolitan,22.2
3,865500.0,Western Metropolitan,5.1
2,362000.0,Western Metropolitan,5.1
2,651000.0,Southern Metropolitan,1.9
4,711000.0,Northern Metropolitan,20.5
4,560000.0,Northern Metropolitan,20.5
3,387000.0,Northern Metropolitan,20.5
5,920000.0,Northern Metropolitan,20.5
4,706000.0,Northern Metropolitan,20.5
5,5000000.0,Southern Metropolitan,2.7
1,480000.0,Southern Metropolitan,2.7
2,495000.0,Southern Metropolitan,2.7
2,705000.0,Southern Metropolitan,2.7
1,392000.0,Southern Metropolitan,2.7
2,630000.0,Southern Metropolitan,0.7
3,667500.0,Western Metropolitan,6.2
3,860000.0,South-Eastern Metropolitan,20.8
4,860000.0,Western Metropolitan,14.0
3,610000.0,Western Metropolitan,14.0
3,605000.0,Western Metropolitan,14.0
3,645000.0,Western Metropolitan,14.0
1,1100000.0,Western Metropolitan,14.0
3,640000.0,Southern Metropolitan,5.0
2,501500.0,Southern Metropolitan,5.0
3,890000.0,Western Metropolitan,8.2
4,1301000.0,Western Metropolitan,8.2
3,900000.0,Western Metropolitan,8.2
3,890000.0,Western Metropolitan,10.5
2,430000.0,Western Metropolitan,10.5
3,1200000.0,Western Metropolitan,10.5
3,612000.0,Western Metropolitan,10.5
3,732000.0,Western Metropolitan,10.5
4,861800.0,Western Metropolitan,10.5
4,630000.0,Western Metropolitan,10.5
5,3250000.0,Southern Metropolitan,10.2
4,1600000.0,Southern Metropolitan,10.2
5,593000.0,Western Metropolitan,18.0
4,547000.0,Western Metropolitan,18.0
4,645500.0,Western Metropolitan,15.5
5,1952000.0,Eastern Metropolitan,15.5
3,1175000.0,Eastern Metropolitan,15.5
4,1750000.0,Eastern Metropolitan,15.5
4,1380000.0,Eastern Metropolitan,15.5
3,965000.0,Eastern Metropolitan,15.5
4,1051888.0,Eastern Metropolitan,12.4
5,1310000.0,Eastern Metropolitan,12.4
4,1150000.0,Eastern Metropolitan,12.4
4,1255000.0,Eastern Metropolitan,12.4
5,1351000.0,Eastern Metropolitan,12.4
3,1161500.0,Eastern Metropolitan,12.4
3,580000.0,Northern Metropolitan,15.3
3,745000.0,Northern Metropolitan,15.3
3,576000.0,Northern Metropolitan,15.3
3,517000.0,Northern Metropolitan,15.3
3,525000.0,Northern Metropolitan,15.3
2,1260000.0,Northern Metropolitan,7.0
4,1651118.0,Northern Metropolitan,7.0
2,580000.0,Southern Metropolitan,4.1
2,1850000.0,Southern Metropolitan,4.1
3,855000.0,Southern Metropolitan,4.1
3,1600000.0,Southern Metropolitan,4.1
4,695000.0,Western Metropolitan,12.9
3,560000.0,Western Metropolitan,12.9
4,1120000.0,Eastern Metropolitan,17.2
4,921000.0,Eastern Metropolitan,14.7
5,1390000.0,Eastern Metropolitan,14.7
3,730000.0,Eastern Metropolitan,21.1
2,700000.0,Western Metropolitan,14.7
3,452000.0,Western Metropolitan,14.7
3,430000.0,Western Metropolitan,14.7
3,720000.0,Western Metropolitan,6.4
3,975000.0,Western Metropolitan,6.4
2,930000.0,Western Metropolitan,6.4
1,315000.0,Northern Metropolitan,3.1
2,470000.0,Northern Metropolitan,16.5
4,1185000.0,South-Eastern Metropolitan,16.7
4,1050000.0,South-Eastern Metropolitan,16.7
3,1131000.0,South-Eastern Metropolitan,16.7
5,1700000.0,Western Metropolitan,6.8
3,1520000.0,Western Metropolitan,6.8
3,1621000.0,Western Metropolitan,6.8
2,1670000.0,Southern Metropolitan,4.6
2,652000.0,Southern Metropolitan,4.6
4,660000.0,Northern Metropolitan,25.5
4,567500.0,Northern Metropolitan,25.5
3,472500.0,Northern Metropolitan,25.5
3,380000.0,Western Metropolitan,27.2
3,1381000.0,Western Metropolitan,6.3
2,607500.0,Western Metropolitan,6.3
3,1120000.0,Western Metropolitan,6.3
2,802000.0,Western Metropolitan,6.3
6,1550000.0,Western Metropolitan,6.3
3,1350000.0,Northern Metropolitan,3.0
3,858000.0,Western Metropolitan,10.4
2,593000.0,Western Metropolitan,10.4
3,640000.0,Western Metropolitan,10.4
3,961000.0,Western Metropolitan,10.4
2,1535000.0,Southern Metropolitan,3.0
3,570000.0,Western Metropolitan,10.5
4,2345000.0,Northern Metropolitan,5.7
3,900000.0,Western Metropolitan,9.4
2,650000.0,Western Metropolitan,9.4
2,480000.0,Western Metropolitan,12.8
5,5200000.0,Southern Metropolitan,6.3
3,950000.0,Western Metropolitan,4.3
3,1225000.0,Southern Metropolitan,10.2
5,1025000.0,Northern Metropolitan,16.5
3,622000.0,Western Metropolitan,9.5
3,825000.0,Western Metropolitan,9.5
4,1475000.0,Southern Metropolitan,7.9
5,3050000.0,Southern Metropolitan,7.9
5,2160000.0,Southern Metropolitan,9.7
3,1050000.0,Southern Metropolitan,9.7
3,1275000.0,Southern Metropolitan,9.7
3,640000.0,Eastern Metropolitan,23.2
3,500000.0,Eastern Metropolitan,23.2
4,825000.0,Eastern Metropolitan,23.2
2,800000.0,Southern Metropolitan,17.3
4,1221000.0,Southern Metropolitan,17.3
4,1800000.0,Southern Metropolitan,17.3
4,1823000.0,Southern Metropolitan,17.3
6,2000000.0,Southern Metropolitan,17.3
3,1365000.0,Southern Metropolitan,11.4
3,1045000.0,Southern Metropolitan,11.4
5,1220000.0,Southern Metropolitan,13.8
3,1095000.0,Eastern Metropolitan,13.4
3,1020000.0,Eastern Metropolitan,13.4
3,642000.0,Eastern Metropolitan,25.0
3,840000.0,Eastern Metropolitan,16.1
3,2650000.0,Southern Metropolitan,10.5
1,380000.0,Southern Metropolitan,10.5
5,3250000.0,Southern Metropolitan,10.5
4,1731000.0,Southern Metropolitan,10.3
3,465000.0,Northern Metropolitan,14.0
3,518500.0,Northern Metropolitan,14.0
3,665000.0,Western Metropolitan,6.4
2,692000.0,Northern Metropolitan,5.2
2,1305000.0,Northern Metropolitan,4.0
3,1100000.0,Northern Metropolitan,5.2
2,573000.0,Northern Metropolitan,5.2
3,1060000.0,Eastern Metropolitan,10.8
3,805000.0,Northern Metropolitan,12.1
3,682000.0,Northern Metropolitan,12.1
3,510000.0,Northern Metropolitan,12.1
3,535000.0,Western Metropolitan,14.8
4,1088000.0,Eastern Metropolitan,14.7
3,1180000.0,Eastern Metropolitan,14.7
3,630000.0,Western Metropolitan,14.8
2,677000.0,Southern Metropolitan,7.7
2,670000.0,Southern Metropolitan,7.7
3,1320000.0,Southern Metropolitan,7.7
2,816000.0,Southern Metropolitan,8.4
1,350000.0,Northern Metropolitan,1.6
2,620000.0,Northern Metropolitan,1.6
3,1760000.0,Northern Metropolitan,1.6
1,300000.0,Southern Metropolitan,10.1
3,545000.0,Western Metropolitan,14.8
4,1800000.0,Southern Metropolitan,8.7
2,1091500.0,Southern Metropolitan,8.7
5,1140000.0,Southern Metropolitan,17.9
3,950000.0,Southern Metropolitan,17.9
2,1171000.0,Southern Metropolitan,17.9
2,425000.0,Southern Metropolitan,17.9
3,1116000.0,Southern Metropolitan,17.9
3,1030000.0,Northern Metropolitan,3.6
2,900000.0,Northern Metropolitan,6.7
2,620000.0,Northern Metropolitan,6.7
4,922000.0,Northern Metropolitan,6.7
3,1077000.0,Northern Metropolitan,6.7
4,800000.0,Northern Metropolitan,6.7
3,805000.0,Northern Metropolitan,6.7
4,665000.0,Northern Metropolitan,20.6
4,607000.0,Northern Metropolitan,20.6
3,515500.0,Northern Metropolitan,20.6
4,509500.0,Northern Metropolitan,20.6
3,660000.0,Northern Metropolitan,20.6
4,932000.0,Eastern Metropolitan,23.0
2,566100.0,Eastern Metropolitan,23.0
2,570000.0,Eastern Metropolitan,23.0
4,875000.0,Eastern Metropolitan,23.0
4,810000.0,Eastern Metropolitan,23.0
3,585000.0,South-Eastern Metropolitan,24.7
2,348000.0,South-Eastern Metropolitan,24.7
3,627000.0,South-Eastern Metropolitan,24.7
3,760000.0,South-Eastern Metropolitan,24.7
2,621000.0,Northern Victoria,21.8
2,612000.0,South-Eastern Metropolitan,22.2
3,840000.0,Eastern Metropolitan,12.4
3,945000.0,Eastern Metropolitan,12.4
6,1856000.0,Eastern Metropolitan,14.3
7,2705000.0,Eastern Metropolitan,16.1
3,818000.0,Eastern Metropolitan,16.1
3,852000.0,Eastern Metropolitan,16.1
3,530500.0,Northern Victoria,25.9
3,1092000.0,South-Eastern Metropolitan,27.0
3,975000.0,Eastern Metropolitan,18.0
3,805000.0,Eastern Metropolitan,18.0
4,770000.0,Eastern Metropolitan,18.0
1,425000.0,Southern Metropolitan,7.2
4,940000.0,Northern Metropolitan,19.6
2,437000.0,Northern Metropolitan,19.6
5,660000.0,Northern Metropolitan,19.6
3,1325000.0,Western Metropolitan,7.5
1,310000.0,Western Metropolitan,7.5
3,864000.0,Western Metropolitan,7.5
1,291000.0,Western Metropolitan,7.5
3,750000.0,Western Metropolitan,7.5
5,2200000.0,Western Metropolitan,7.5
3,515000.0,South-Eastern Metropolitan,28.8
3,580000.0,South-Eastern Metropolitan,28.8
3,1550000.0,Northern Metropolitan,5.7
2,672000.0,Northern Metropolitan,13.1
3,720000.0,Northern Metropolitan,13.1
2,414000.0,Eastern Metropolitan,24.8
2,1350000.0,Northern Metropolitan,3.6
3,1852000.0,Northern Metropolitan,3.6
2,1100000.0,Northern Metropolitan,3.6
3,815000.0,Western Metropolitan,5.1
1,170000.0,Western Metropolitan,5.1
4,1372000.0,Eastern Metropolitan,15.4
3,850500.0,Eastern Metropolitan,15.4
3,625000.0,Western Metropolitan,12.9
3,650000.0,Western Metropolitan,12.9
4,1910000.0,Southern Metropolitan,7.3
3,1900000.0,Southern Metropolitan,7.3
2,500000.0,Southern Metropolitan,7.3
2,523000.0,Southern Metropolitan,7.3
4,1250000.0,Eastern Metropolitan,16.7
2,460000.0,Northern Metropolitan,11.2
